             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON) 
           6886226   general Mar118_2     lzou  R       5:48      1 awi09 
           6886227   general Mar118_2     lzou  R       5:48      1 awi09 
           6886228   general Mar118_2     lzou  R       5:48      1 awi09 
           6886229   general Mar118_2     lzou  R       5:48      1 awi09 
           6886230   general Mar118_2     lzou  R       5:48      1 awi09 
           6886231   general Mar118_2     lzou  R       5:48      1 awi09 
           6886196   general Mar118_2     lzou  R       6:18      1 awi08 
           6886197   general Mar118_2     lzou  R       6:18      1 awi08 
           6886198   general Mar118_2     lzou  R       6:18      1 awi08 
           6886199   general Mar118_2     lzou  R       6:18      1 awi08 
           6886200   general Mar118_2     lzou  R       6:18      1 awi08 
           6886201   general Mar118_2     lzou  R       6:18      1 awi08 
           6886202   general Mar118_2     lzou  R       6:18      1 awi08 
           6886203   general Mar118_2     lzou  R       6:18      1 awi08 
           6886204   general Mar118_2     lzou  R       6:18      1 awi09 
           6886205   general Mar118_2     lzou  R       6:18      1 awi09 
           6886206   general Mar118_2     lzou  R       6:18      1 awi09 
           6886207   general Mar118_2     lzou  R       6:18      1 awi09 
           6886208   general Mar118_2     lzou  R       6:18      1 awi09 
           6886209   general Mar118_2     lzou  R       6:18      1 awi09 
           6886210   general Mar118_2     lzou  R       6:18      1 awi09 
           6886211   general Mar118_2     lzou  R       6:18      1 awi09 
           6886212   general Mar118_2     lzou  R       6:18      1 awi09 
           6886213   general Mar118_2     lzou  R       6:18      1 awi09 
           6886214   general Mar118_2     lzou  R       6:18      1 awi09 
           6886215   general Mar118_2     lzou  R       6:18      1 awi09 
           6886216   general Mar118_2     lzou  R       6:18      1 awi09 
           6886217   general Mar118_2     lzou  R       6:18      1 awi09 
           6886218   general Mar118_2     lzou  R       6:18      1 awi09 
           6886219   general Mar118_2     lzou  R       6:18      1 awi09 
           6886220   general Mar118_2     lzou  R       6:18      1 awi09 
           6886221   general Mar118_2     lzou  R       6:18      1 awi09 
           6886222   general Mar118_2     lzou  R       6:18      1 awi09 
           6886169   general Mar118_1     lzou  R       6:48      1 awi07 
           6886170   general Mar118_1     lzou  R       6:48      1 awi07 
           6886171   general Mar118_1     lzou  R       6:48      1 awi07 
           6886172   general Mar118_1     lzou  R       6:48      1 awi07 
           6886173   general Mar118_1     lzou  R       6:48      1 awi07 
           6886174   general Mar118_1     lzou  R       6:48      1 awi07 
           6886175   general Mar118_1     lzou  R       6:48      1 awi07 
           6886176   general Mar118_1     lzou  R       6:48      1 awi08 
           6886177   general Mar118_1     lzou  R       6:48      1 awi08 
           6886178   general Mar118_1     lzou  R       6:48      1 awi08 
           6886179   general Mar118_1     lzou  R       6:48      1 awi08 
           6886180   general Mar118_1     lzou  R       6:48      1 awi08 
           6886181   general Mar118_1     lzou  R       6:48      1 awi08 
           6886182   general Mar118_1     lzou  R       6:48      1 awi08 
           6886183   general Mar118_1     lzou  R       6:48      1 awi08 
           6886184   general Mar118_1     lzou  R       6:48      1 awi08 
           6886185   general Mar118_1     lzou  R       6:48      1 awi08 
           6886186   general Mar118_1     lzou  R       6:48      1 awi08 
           6886187   general Mar118_1     lzou  R       6:48      1 awi08 
           6886188   general Mar118_2     lzou  R       6:48      1 awi08 
